lugar,implicado,fuente
Sitio El Palmar,Guerrilla No Identificada,Enterrar y Callar Vol. 2 Pp. 111 El Espectador 04/06/1988: 15A
,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 2 Pp. 57
Vereda Buenos Aires,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 2 Pp. 52
Vereda El Topacio,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 2 Pp. 66 Enterrar y Callar Vol. 2 Pp. 76 En Deuda con la Humanidad Paramilitarismo de Estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 2 Pp. 53 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Sitio Caño Sibao,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 16 Caso Tipo En Deuda con la Humanidad Paramilitarismo de Estado en Colombia 1988-2003 Ceder es más terrible que la muerte 1985-1996 Una década de violencia en el Meta Pp. 89 Colombia Nunca Más. Crimenes de Lesa Humaniad Zona 7 Pp. 206
,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 3 Pp. 17
IPD  Yarima-Vereda Tres Amigos,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 19 Enterrar y Callar Vol. 2 Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
Zona Rural,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 1 No 3 Pp. 19 Enterrar y Callar Vol. 2 Pp. 205
Finca La Cartagena,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 20 Enterrar y Callar. Vol. 2 Pp. 129
Zona Rural,Agente Extranjero-Guardia Nacional Venezolana,Boletín Justicia y Paz Vol. 1 No 3 Pp. 39
Corregimiento Guachacá,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 3 Pp. 39
 IPD Piñalito,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 40 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 243
IPD Misijuay,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 48 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp. 108
,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 3 Pp. 48
Finca Santa Mónica,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 49-50 Ceder es más terrible que la muerte Pp. 92 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 308
Vereda El Tomate,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 41 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar. Vol. 2 Pp. 128
Zona Rural,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 3 Pp. 62
Vereda Betania,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 3 Pp. 63 Enterrar y Callar Vol. 2 Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas
,Guerrilla No Identificada,Boletín Justicia y Paz Vol. 1 No 3 Pp. 71
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 3 Pp. 72
Corregimiento Araujo,Guerrilla-Quintin Lame ,Boletín Justicia y Paz Vol. 1 No 4 Pp. 24 Enterrar y Callar Vol. 2 Pp. 117
Vereda Puerto Nuevo,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 25 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 210
,Agente Extranjero-Guardia Nacional Venezolana,Boletín Justicia y Paz Vol. 1 No 4 Pp. 23
Vía a Granada,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 47 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 164 Ceder es más terrible que la muerte Pp. 92 Colombia Nunca Más. Crimenes de Lesa Humanidad Pp. 223
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 58
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 48 Memoria Histórica Las masacres de Remedios y Segovia. Crónica de una democracia violentada
Caserío Buenavista,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 4 Pp. 49
Finca Los Medios,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 50 Caso Tipo Deuda con la Humanidad. Paramilitarismo de estado en Colombia 1988-2003
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 55 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5
Corregimiento Líbano,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 4 Pp. 57 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Corregimiento Puerto Valdivia,Grupos Paramilitares,Boletín Justicia y Paz Vol. 1 No 4 Pp. 71 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Nuevo Paraiso,Grupos Paramilitares,Enterrar y Callar Vol. 2 Pp. 130 El Espectador 16/12/1988: 13A
Vereda La Manguita,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 1 No 4 Pp. 80
Zona Rural,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 1 No 4 Pp. 79 Enterrar y Callar Vol. 2 Pp. 107
Cabecera Municipal,Guerrilla No Identificada,Boletín Justicia y Paz Vol. 1 No 4 Pp. 85
ID Pachiaquiaro,Grupos Paramilitares,Ceder es más terrible que la muerte Pp. 94 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 310 Boletín Justicia y Paz Vol. 2 No. 1
Zona Rural,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 1 Pp. 13
Corregimiento Loma Verde,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 1 Pp. 21
Corregimiento La Rochela,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 1 Pp. 15 Comisión Interamericana de Derechos Humanos-Informe de Admisibilidad No 42 de 2002 Enterrar y Callar Vol. 2 Pp. 199 Memoria Histórica. La Masacre de La Rochela. Memorias de un crimen contra la justicia
IPD Vijagual,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 1 Pp. 26 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
Corregimiento La Rochela-Vereda La Plazuela,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 2 No 1 Pp. 40
Corregimiento Gaitania,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 1 Pp. 46 Enterrar y Callar Vol. 2 Pp. 204
Corregimiento Buenos Aires,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 1 Pp. 41
Corregimiento Santa Pabla,Guerrilla-ELN ,Boletín Justicia y Paz Vol. 2 No 1 Enterrar y Callar Vol. 2 Pp. 93
Caserío San José-Vereda La Sierra,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 2 No 1 Pp. 50
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 1 Pp. 44
Corregimientos Cristales-Veredas La María y San Antonio & Corregimiento Providencia-Veredas La María y San Antonio,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 1 Pp. 44 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003. Enterrar y Callar Vol. 2 Pp. 77 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 560-561
Corregimiento Santa Isabel,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 1 Pp. 73-74 Enterrar y Callar Vol 2 Pp. 74 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 456
Vereda Risaraldita,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 2 No 1 Pp. 75 Enterrar y Callar Vol. 2 Pp. 180
IPD  Yarima,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 2 Pp. 19 Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 198
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 2 Pp. 19 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 168
Vereda Don Germán,Grupo Armado No Identificado,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Barrancabermeja Pp. 136
IP Zulia,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 2 Pp. 28
Corregimiento El Carmelo-Vereda El Guadual,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 2 Pp. 47. Enterrar y Callar. Vol 2 Pp. 22
Hacienda Monterojo,Guerrilla-ELN ,Boletín Justicia y Paz Vol. 2 No 2 Pp. 56 Enterrar y Callar Vol. 2 Pp. 198
IPD Morroñato,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 2 Pp. 77 Enterrar y Callar Vol. 2 Pp. 220
Corregimiento San Jose de Oriente,Guerrilla-ELN ,Enterrar y Callar Vol. 2 Pp. 124 El Tiempo 06/06/1989: 9B
Caño Cunimia,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 2 Pp. 75 Enterrar y Callar Vol. 2 Pp. 170
Sitio La Bodega,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 3 Pp. 23 Enterrar y Callar Vol. 2 Pp. 168 Ceder es más terrible que la muerte Pp. 100 Colombia. Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 280
IPD El Carmelo,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 3 Pp. 27
Sitio Alto Nogales,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 2 No 3 Pp. 19-20 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 255
,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 3 Pp. 30
IPD Guamal,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 2 No 3 Pp. 52 Enterrar y Callar Vol. 2 Pp. 172
 IPD Caño Victoria-Vereda Campo Dos,Guerrilla-ELN ,Boletín Justicia y Paz Vol. 2 No 3 Pp. 53 Enterrar y Callar Vol. 2 Pp. 174 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander
Caserío San Rafael y Corregimiento Nuevo Paraiso,Grupos Paramilitares,"Boletín Justicia y Paz Vol. 2 No 3 Pp. 54  Enterrar y Callar Vol. 2 Pp. 131 Boletín de Prensa, CPDH, Octubre de 1989"
IP Fortul,Fuerza Pública-Ejército Nacional,"Enterrar y Callar Vol. 2 Pp. 89 Boletín de Prensa, CPDH, Octubre de 1989"
IP San Antonio de Getucha,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 3 Pp. 55 Enterrar y Callar Vol. 2 Pp. 109
Cabecera Municipal,Guerrilla-FARC ,Enterrar y Callar Vol. 2 Pp. 182 Vanguardia Liberal 20/08/1988
Vereda Loma Candela,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 3 Pp. 58 Enterrar y Callar Vol. 2 Pp. 201
Veredas Minipi y El Potrero,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 3 Pp. 79 Enterrar y Callar Vol. 2 Pp. 146
Corregimiento Montecitos-Vereda Aguas Blancas,Fuerza Pública-Policía Nacional,Boletín Justicia y Paz Vol. 2 No 3 Pp. 80-81 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
IPD La Curva,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 3 Pp. 83 Enterrar y Callar Vol. 2 Pp. 173 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 93
 IPD San Rafael-Vereda Cano,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 4 Pp. 22 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas
Vereda El Cairo,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 19 Enterrar y Callar Vol. 2 Pp. 202
ID Toledo-Vereda El Batán,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 4 Pp. 46
Caserío Planas,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 2 No 4 Pp. 47 Enterrar y Callar Pp. 167 Ceder es más terrible que la muerte PP. 101
Sitio El Portachuelo,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 47 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas
Zona Rural,Guerrilla-EPL ,Boletín Justicia y Paz Vol. 2 No 4 Pp. 47
Finca San José,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 2 No 4 Pp. 43 Enterrar y Callar Vol. 2 Pp. 118
Cabecera Municipal-Vereda La Guaira,Guerrilla-ELN ,Boletín Justicia y Paz Vol. 2 No 4 Pp. 48
Corregimiento Norean,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 4 Pp. 48 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar
Corregimiento Juan José,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 2 No 4 Pp. 44 Enterrar y Callar Pp. 132
Corregimiento Las Hermosas,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 45 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Buenos Aires,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 256
Corregimiento Pueblo Buho-Caserío Rincón de La Vieja,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 51 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 131
Vereda Apiay,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 2 No 4 Pp. 51 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 331
Caserío Marta,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 71 Enterrar y Callar Vol. 2 Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Área Metropolitana de Bucaramanga
IPD La India,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 256
Corregimiento Puerto Valdivia,Grupos Paramilitares,Boletín Justicia y Paz Vol. 2 No 4 Pp. 67 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
,Fuerza Pública-Ejército Nacional,Enterrar y  Callar Vol 2 Pp. 32
Corregimiento El Carmen,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 PP. 113
,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 Pp. 172
Corregimiento Pueblo Nuevo  ,Guerrilla-EPL ,Boletín Justicia y Paz Vol 3 No 1
Vereda Barrancón,Guerrilla-FARC ,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 Pp. 146
Corregimiento Cacaotal,Fuerza Pública-Policía Nacional,Boletín Justicia y Paz Vol 3 No 1
Vereda La Julia,Grupos Paramilitares,Ceder es más terrible que la muerte. Pp. 103 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 7 Pp. 257
Zona Rural,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 1 Pp. 35-36
Vereda La Candelaria,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 1 Pp. 38
IPD Ibamá,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 48
Corregimiento San Rafael de Chucurí,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 1 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 329-330 
IPD Medellin del Ariari-Vereda Cumaral Abajo,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 Pp. 165 Ceder es más terrible que la muerte Pp. 104 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 225
Corregimiento Morindó Santana,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Enterrar y Callar Vol. 2 Pp. 132
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 48-49 Enterrar y Callar Vol. 2 Pp. 191 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 257
,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 49
Fincas Guatapurí y Romeral,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 49
Vía a Arboletes,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 49
Corregimiento Andinápolis-Vereda La Sonadora,Fuerza Pública-Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Memoria Histórica Trujillo. Una tragedia que no cesa Enterrar y Callar Vol. 2 Pp. 219
IPM San Rafael,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 1 Pp. 66
Vereda La Joya,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 50
,Fuerza Pública-Ejército Nacional,Enterrar y Callar Vol 2 Pp. 48 Procuraduría Delegada para las Fuerzas Militares
Caserío Calle Mar,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 2 Pp. 19-20 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 133
Vereda La Esperanza,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 2 Pp. 9-10
Sitio El Capricho,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 2 Pp. 46 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Colombia Nunca Más. Crimenes de Lesa Humanidad. Zona 7 Pp. 330
Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 2 Pp. 47 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 173 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 91
Vereda La Palestina,Guerrilla-EPL ,Boletín Justicia y Paz Vol 3 No 2 Pp. 50 Enterrar y Callar Vol. 2 Pp. 177
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 1 Pp.59 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 54
IPD El Diamante,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 2 Pp. 54
IPD Solita,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 2 PP. 81 Enterrar y Callar Vol 2 Pp. 29
IPD Ilarcuta-Tienda Nueva,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 2 Enterrar y Callar Vol. 2 Pp. 193 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas
Corregimiento La Victoria de San Isidro,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 2 Pp. 85
Corregimiento Puerto Coca-Vereda Garabatal,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 47
Corregimiento Puerto Valdivia,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 2 Pp. 87 Enterrar y Callar Vol. 2 Pp. 87
Zona Rural,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 3 Pp. 21
,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 Pp. 22
Caseríos La Lucha y Los Pantanos,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 3 Pp. 24 
Corregimiento La Arenosa,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 3 Pp. 32
Corregimiento La Manta,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 3 Pp. 25
Vereda Las Palmas,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 Pp. 27 Enterrar y Callar. Vol. 2 Pp. 164
IPD Puerto Olaya-Vereda Vuelta Acuña,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 Enterrar y Callar Vol. 2 Pp. 191 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 259
,Fuerza Pública-Grupos Paramilitares,Colombia Nunca Más Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 88
Caserío Aguas Claras,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 Enterrar y Callar Vol. 2 Pp. 166 Ceder es más terrible que la muerte Pp. 105 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 7 Pp. 211
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 84
IPD Santa Coa,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 3 Pp. 70
IPD El Sande,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 3 Pp. 71 Enterrar y Callar Vol. 2 Pp. 171
IPD Cuatro Caminos-Vereda Taotao,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 3 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 56 Enterrar y Callar Vol. 2 Pp. 147
,Guerrilla-FARC ,Boletín Justicia y Paz Vol 3 No 3 Pp. 75 Enterrar y Callar. Vol. 2 Pp. 150
Sitio Caño Madrono,Guerrilla-FARC ,Boletín Justicia y Paz Vol 3 No 3 Enterrar y Callar Vol. Pp. 170
Cabecera Municipal-Vereda El Oso,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 4 Pp. 10
Corregimiento Las Naranjitas,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol 3 No 4 Pp. 8
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 4 Pp. 11
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 4 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 57 Enterrar y Callar Vol. 2 Pp. 134
Corregimiento Salónica,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 4 Pp. 34
Vereda Iglesias,Grupos Paramilitares,Boletín Justicia y Paz Vol 3 No 4 Enterrar y Callar Vol. 2 Pp. 72
Corregimiento San Diego,Grupos Paramilitares,"Enterrar y Callar Vol. 2 Pp. 107 CDPH, Febrero de 1991"
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 4 Pp. 60
Vereda Llano Grande,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 4  Pp. 61 Enterrar y Callar Vol. 2 Pp. 199
Corregimiento Puerto Bélgica,Grupo Armado No Identificado,Boletín Justicia y Paz Vol 3 No 4 Pp. 62
IPD Naranjal,Guerrilla-ELN ,Boletín Justicia y Paz Vol 3 No 4 Pp. 64 Enterrar y Callar Vol. 2 Pp. 206
IPD Naranjal-Vereda El Mestizo,Grupos Paramilitares,En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 61
Vereda La Glorieta,Grupos Paramilitares,Boletín Justicia y Paz Vol. 4 No 1 Pp. 15 Enterrar y Callar Vol. 2 Pp. 169
Corregimiento El Limón,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 4 No 1 Pp. 15
Vereda Porce,Grupos Paramilitares,Boletín Justicia y Paz Vol. 4 No 1 Pp. 15 Enterrar y Callar Vol. 2 Pp. 81
Vereda Las Palmeras,Fuerza Pública-Ejército Nacional,Boletín Justicia y Paz Vol. 4 No 1 Pp. 18 Enterrar y Callar Vol. 2 Pp. 175 Corte Interamericana de Derechos Humanos Caso Las Palmeras 2001
Caserío El Palmar-Vereda Miranda,Fuerza Pública-Ejército Nacional,Boletín Informativo Justicia y Paz Vol 4 No 1 Pp. 13 Enterrar y Callar Vol. 2 Pp. 201
,Grupos Paramilitares,Enterrar y Callar Vol. 2 Pp. 191
Zona Rural,Guerrilla-FARC ,Boletín Justicia y Paz Vol. 4 No 1 Pp. 46 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Enterrar y Callar Vol. 2 Pp. 149
Cabecera Municipal,Grupo Armado No Identificado,Boletín Justicia y Paz Vol. 4 No 1 Pp. 50
Vereda Playa Rica,Grupos Paramilitares,Boletín Justicia y Paz Vol. 4 No 1 Pp. 51 Enterrar y Callar Vol. 2 Pp. 176
Cabecera Municipal,Grupos Paramilitares,Boletín Justicia y Paz Vol. 4 No 1 Pp. 56-57 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp.69
